Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Randwick City Council,Little Bay Beach,28/12/2023,09:44:00,120,22,52400,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,28/12/2023,07:14:00,25,21,53200,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,28/12/2023,09:02:00,0,22,52200,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,28/12/2023,09:21:00,160,22,52500,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,28/12/2023,08:58:00,4,21,53000,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,28/12/2023,08:19:00,68,21,52500,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,28/12/2023,07:56:00,12,21,53200,-33.914578000,151.267659000
Sydney City,Randwick City Council,Gordons Bay (East),28/12/2023,08:04:00,70,21,52800,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,28/12/2023,07:34:00,11,21,52800,-33.900805000,151.270734000
Sydney City,Randwick City Council,Maroubra Beach,28/12/2023,08:43:00,3,21,53800,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,28/12/2023,07:45:00,120,21,52700,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,21/12/2023,07:50:00,5,20,52900,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,21/12/2023,08:43:00,0,19,52800,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),21/12/2023,08:09:00,2,20,52600,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,21/12/2023,07:35:00,4,19,53100,-33.900805000,151.270734000
Sydney City,Randwick City Council,Clovelly Beach,21/12/2023,08:02:00,4,19,52400,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,21/12/2023,08:23:00,1,19,52800,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,21/12/2023,08:54:00,1,20,52500,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,21/12/2023,09:18:00,150,19,52200,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,21/12/2023,08:57:00,2,20,52500,-33.953515000,151.258009000
Sydney City,Waverley Council,Bondi Beach,21/12/2023,07:19:00,8,19,53300,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,21/12/2023,09:30:00,0,20,52400,-33.979882000,151.251417000
Sydney City,Randwick City Council,Little Bay Beach,15/12/2023,11:50:00,26,23,54900,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,15/12/2023,10:19:00,12,23,53100,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,15/12/2023,11:47:00,8,24,53600,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,15/12/2023,12:10:00,25,24,54900,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,15/12/2023,11:39:00,7,24,53600,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,15/12/2023,11:16:00,6,23,53700,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,15/12/2023,10:57:00,0,22,54400,-33.914578000,151.267659000
Sydney City,Randwick City Council,Gordons Bay (East),15/12/2023,11:05:00,11,22,53700,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,15/12/2023,10:34:00,3,22,53500,-33.900805000,151.270734000
Sydney City,Randwick City Council,Maroubra Beach,15/12/2023,11:32:00,27,23,54800,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,15/12/2023,10:46:00,10,22,53500,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,11/12/2023,08:24:00,62,21,54600,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,11/12/2023,09:32:00,2,22,54400,-33.948896000,151.257459000
Sydney City,Waverley Council,Tamarama Beach,11/12/2023,08:04:00,1,21,53600,-33.900805000,151.270734000
Sydney City,Randwick City Council,Gordons Bay (East),11/12/2023,08:49:00,26,22,53900,-33.915646000,151.264558000
Sydney City,Randwick City Council,Clovelly Beach,11/12/2023,08:40:00,1,21,53100,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,11/12/2023,09:07:00,0,22,53400,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,11/12/2023,09:48:00,0,22,53700,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,11/12/2023,10:04:00,42,23,53700,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,11/12/2023,09:47:00,5,22,53700,-33.953515000,151.258009000
Sydney City,Waverley Council,Bondi Beach,11/12/2023,07:46:00,7,21,55100,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,11/12/2023,10:21:00,1,22,53200,-33.979882000,151.251417000
